"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr"
0.004,Inf,0.7625284,0.103901489447699,123.363,1063.995,1,0.00158091400760462,0.00158091400760462,0.00303230845364334,0.00258913487867606,0.00258888156669299,0.00266255615327792,0.905
0.004,Inf,0.7625284,0.103901489447699,123.363,1063.995,4,0.00703247705893695,0.00703247705893695,0.00930445148740765,0.00609522529353005,0.00609542764169857,0.00603757513812408,0.784
0.004,Inf,0.7625284,0.103901489447699,123.363,1063.995,7,0.0141047979214758,0.0141047979214758,0.0169987787535983,0.00949419220232787,0.00949227359309039,0.00963756251726358,0.696
0.005,Inf,0.7573138,0.126846368320202,153.916,1059.515,1,0.00158922243258481,0.00158922243258481,0.00306776225412862,0.00262560710580544,0.00262534373699196,0.00269868701389232,0.905
0.005,Inf,0.7573138,0.126846368320202,153.916,1059.515,4,0.00698285026229321,0.00698285026229321,0.00931192536573251,0.00616340459209177,0.00616358223578963,0.00609072559753896,0.781
0.005,Inf,0.7573138,0.126846368320202,153.916,1059.515,7,0.0139008755179822,0.0139008755179822,0.0168766805091313,0.00957754278419778,0.00957495088892781,0.00967105321489806,0.702
0.007,Inf,0.7470676,0.169317663852195,214.127,1050.535,1,0.00153651470447941,0.00153651470447941,0.00310628999999429,0.00270167404793805,0.00270101010412136,0.00277160921351851,0.905
0.007,Inf,0.7470676,0.169317663852195,214.127,1050.535,4,0.00689713134919744,0.00689713134919744,0.00930499251074052,0.0062494789495041,0.00624912124167456,0.00619405436378251,0.797
0.007,Inf,0.7470676,0.169317663852195,214.127,1050.535,7,0.0136443797430463,0.0136443797430463,0.0166902604458643,0.00962057290326544,0.00961707769344158,0.00973328690088473,0.714
0.01,Inf,0.7320006,0.225588869301483,302.293,1037.704,1,0.00151091522899813,0.00151091522899813,0.00320489652815782,0.0028290335667561,0.00282780717525081,0.00287487242809732,0.912
0.01,Inf,0.7320006,0.225588869301483,302.293,1037.704,4,0.00672334346684116,0.00672334346684116,0.00929282748000531,0.00642033575717335,0.00641829336270288,0.00633962575921643,0.811
0.01,Inf,0.7320006,0.225588869301483,302.293,1037.704,7,0.0132948807709548,0.0132948807709548,0.0164565533153089,0.00971005196164862,0.00970352774801293,0.00981841862401447,0.735
0.014,Inf,0.7123832,0.290283861022946,417.457,1020.627,1,0.00150833529089456,0.00150833529089456,0.0033324129365825,0.00297446671771312,0.00297300174394734,0.00300454127517057,0.917
0.014,Inf,0.7123832,0.290283861022946,417.457,1020.627,4,0.0066221221605784,0.0066221221605784,0.00931030621328586,0.00655248702514707,0.00654768447984273,0.00651811473260253,0.812
0.014,Inf,0.7123832,0.290283861022946,417.457,1020.627,7,0.0128461975626249,0.0128461975626249,0.0160943062435531,0.00971081795739465,0.00970030915182211,0.00991514910605515,0.756
0.019,Inf,0.6886122,0.357877899134775,557.197,999.742,1,0.00149655509227471,0.00149655509227471,0.00343569239901043,0.00309630555020259,0.00309416854670202,0.00315739089676791,0.907
0.019,Inf,0.6886122,0.357877899134775,557.197,999.742,4,0.00651132840503227,0.00651132840503227,0.00939585422749601,0.00678442440759778,0.00677721252993076,0.00672053328607819,0.833
0.019,Inf,0.6886122,0.357877899134775,557.197,999.742,7,0.0123627974036029,0.0123627974036029,0.0158150021722315,0.00988722516235909,0.00986777112483493,0.0100127032323183,0.77
0.03,Inf,0.6393396,0.46987890041078,847.337,955.965,1,0.00144742254074778,0.00144742254074778,0.00375842600380381,0.00347436476068102,0.00347027042049973,0.00346291969586683,0.918
0.03,Inf,0.6393396,0.46987890041078,847.337,955.965,4,0.00604007364017572,0.00604007364017572,0.00928605816736712,0.00706743213203054,0.00705678289972661,0.00709997928000429,0.862
0.03,Inf,0.6393396,0.46987890041078,847.337,955.965,7,0.0114050338364999,0.0114050338364999,0.015126389346818,0.0099730165505174,0.00994141285478933,0.0101479269520369,0.787
0.04,Inf,0.5975932,0.543665598915354,1093.885,918.149,1,0.00133433361003028,0.00133433361003028,0.00402666034074503,0.00380766992108827,0.0038010518691784,0.00371208453433693,0.921
0.04,Inf,0.5975932,0.543665598915354,1093.885,918.149,4,0.00581080341819511,0.00581080341819511,0.00939221241863565,0.0074007278786569,0.00738259578145371,0.0073754567561865,0.869
0.04,Inf,0.5975932,0.543665598915354,1093.885,918.149,7,0.0104057557275234,0.0104057557275234,0.0143503566938992,0.00993902610098959,0.00988689717337892,0.0101937897807008,0.82
0.055,Inf,0.5401988,0.623485217569384,1433.389,865.617,1,0.00131755949250107,0.00131755949250107,0.00431920723474413,0.00412560348264165,0.00411540090939283,0.00404079987299571,0.932
0.055,Inf,0.5401988,0.623485217569384,1433.389,865.617,4,0.00538130723210778,0.00538130723210778,0.00930196732358527,0.00761542697599448,0.00759116290939864,0.00769531373649865,0.886
0.055,Inf,0.5401988,0.623485217569384,1433.389,865.617,7,0.00904377012455385,0.00904377012455385,0.0135050116378596,0.0101171019890416,0.0100347524897469,0.0101589598998011,0.849
0.07,Inf,0.488724,0.680371715825836,1739.282,817.098,1,0.00132651476557944,0.00132651476557944,0.00455445032401538,0.00437302949940939,0.00435917179167475,0.00433003634739552,0.934
0.07,Inf,0.488724,0.680371715825836,1739.282,817.098,4,0.00494253786523619,0.00494253786523619,0.0091040278788126,0.00769157101487277,0.00764938927138165,0.00792548063103099,0.916
0.07,Inf,0.488724,0.680371715825836,1739.282,817.098,7,0.00816622535211294,0.00816622535211294,0.0129105975052237,0.0100940980944803,0.0100048182306439,0.0100318180514338,0.865
0.1,Inf,0.400252,0.756172615158885,2267.565,731.175,1,0.0012419533005664,0.0012419533005664,0.00491005075074553,0.00477105706965646,0.00475276120936264,0.00482249893568123,0.94
0.1,Inf,0.400252,0.756172615158885,2267.565,731.175,4,0.00414582652790579,0.00414582652790579,0.0090252119182276,0.00810091680882589,0.00802065480325036,0.0081870302555739,0.923
0.1,Inf,0.400252,0.756172615158885,2267.565,731.175,7,0.00633839232023796,0.00633839232023796,0.0114389714627778,0.0096126221369441,0.00952709906201937,0.00959553610905879,0.9
0.3,10.5,0.2994164,0.911408425200475,3192.59,310.328,1,0.000830169004206554,0.000830169004206554,0.00676996747002919,0.0067737438596027,0.00672223678823837,0.00676565327245311,0.949
0.3,10.5,0.2994164,0.911408425200475,3192.59,310.328,4,0.00155669807871968,0.00155669807871968,0.00818060357552704,0.00811732469787011,0.00803514340140345,0.00828608873123002,0.957
0.3,10.5,0.2994164,0.911408425200475,3192.59,310.328,7,0.00077754210766352,0.00077754210766352,0.00768085669277728,0.00768923845296315,0.00764522316502499,0.00784924215234336,0.959
